x,exact,numerical
0,0,0
0.05,0.0784591,0.0784847
0.1,0.156434,0.156485
0.15,0.233445,0.233521
0.2,0.309017,0.309117
0.25,0.382683,0.382808
0.3,0.45399,0.454138
0.35,0.522499,0.522667
0.4,0.587785,0.587975
0.45,0.649448,0.649657
0.5,0.707107,0.707334
0.55,0.760406,0.760649
0.6,0.809017,0.809275
0.65,0.85264,0.852911
0.7,0.891007,0.891289
0.75,0.92388,0.924171
0.8,0.951057,0.951356
0.85,0.97237,0.972675
0.9,0.987688,0.987998
0.95,0.996917,0.99723
1,1,1.00031
