  x              y              exact          interp         lsq            interp_error   lsq_error    
   0.3587719199   0.3212210149   0.5184397951   0.5060275599   0.5125700316   0.0124122353   0.0058697635
   0.4047501973   0.3201657414   0.4839294387   0.4770569617   0.4827936787   0.0068724770   0.0011357600
   0.3882055232   0.4306803341   0.4201818574   0.4123448036   0.4180537298   0.0078370538   0.0021281276
   0.4020331407   0.2780824442   0.5111641462   0.5075218144   0.5134277342   0.0036423317   0.0022635880
   0.3276380469   0.3637908708   0.5104180482   0.4970900464   0.5040573800   0.0133280018   0.0063606682
   0.3553547246   0.3531790362   0.4989886110   0.4864316325   0.4929420193   0.0125569785   0.0060465917
   0.3762175175   0.4099672154   0.4435714438   0.4342170974   0.4401966592   0.0093543464   0.0033747846
   0.3644046591   0.2583657009   0.5532969768   0.5452717261   0.5518964459   0.0080252506   0.0014005308
   0.4134149979   0.3967851092   0.4269813412   0.4191899482   0.4245532024   0.0077913930   0.0024281388
   0.4800931328   0.4145329216   0.3657075129   0.3640244402   0.3681635651   0.0016830727   0.0024560522
   0.5236586491   0.3845626947   0.3503024959   0.3425038539   0.3485626840   0.0077986419   0.0017398119
   0.4746062330   0.3289529748   0.4225390610   0.4166586015   0.4213108967   0.0058804595   0.0012281642
   0.4930717443   0.3001241733   0.4227701806   0.4149945748   0.4193488180   0.0077756058   0.0034213626
   0.4350971871   0.2431079361   0.5015915020   0.4980434606   0.5008801504   0.0035480414   0.0007113517
   0.5325331586   0.2997814842   0.3888858509   0.3791194378   0.3838555525   0.0097664130   0.0050302984
   0.5388572058   0.2444468799   0.4082894582   0.4025315527   0.4064095874   0.0057579055   0.0018798708
   0.4912601852   0.3765488911   0.3810285653   0.3763338303   0.3819411927   0.0046947350   0.0009126273
   0.5899505971   0.2362093394   0.3645186399   0.3601930057   0.3644358672   0.0043256341   0.0000827727
   0.4467316482   0.2897448876   0.4675328504   0.4628108790   0.4665373898   0.0047219714   0.0009954606
   0.4761659866   0.3785819393   0.3916758006   0.3890529229   0.3945458464   0.0026228777   0.0028700458
